acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-85,53,-2036,-25,22,10
-82,62,-2033,-24,23,3
-86,52,-2026,-28,22,5
-84,49,-2051,-27,24,3
-80,55,-2041,-25,19,7
-82,52,-2036,-27,21,3
-78,61,-2033,-27,24,3
-74,55,-2038,-23,19,2
-81,63,-2041,-25,19,3
-78,52,-2038,-25,23,6
-79,52,-2042,-24,22,1
-76,53,-2030,-28,26,6
-84,58,-2029,-27,23,5
-75,57,-2034,-25,26,4
-79,61,-2044,-27,21,5
-83,63,-2036,-28,23,4
-77,48,-2042,-27,21,6
-73,54,-2045,-26,24,6
-81,53,-2039,-25,23,9
-82,50,-2046,-26,23,5
-81,58,-2038,-27,24,8
-82,61,-2035,-26,26,3
-78,54,-2036,-26,21,6
-87,58,-2032,-26,27,4
-79,58,-2041,-25,23,7
-88,51,-2041,-24,23,6
-73,59,-2046,-26,23,4
-79,57,-2034,-27,22,6
-82,59,-2042,-26,22,5
-81,60,-2041,-27,23,5
-78,60,-2035,-27,20,5
-77,52,-2049,-24,22,3
-84,58,-2028,-25,19,4
-82,58,-2041,-26,23,2
-83,60,-2050,-24,27,2
-88,53,-2048,-26,23,3
-88,58,-2028,-23,20,9
-82,60,-2041,-23,24,7
-83,54,-2045,-29,25,7
-81,55,-2041,-24,20,2
-80,60,-2041,-28,22,4
-73,59,-2047,-28,23,6
-81,52,-2044,-27,21,4
-81,62,-2043,-25,25,5
-90,47,-2041,-27,24,4
-81,55,-2035,-27,25,7
-83,59,-2046,-25,24,8
-80,60,-2029,-28,18,10
-78,61,-2046,-25,21,4
-78,58,-2042,-24,22,3
-80,56,-2036,-30,23,8
-82,56,-2041,-27,20,5
-77,61,-2045,-28,26,6
-77,52,-2042,-28,22,8
-83,58,-2048,-29,23,6
-79,62,-2043,-27,25,8
-78,57,-2039,-30,25,4
-76,59,-2042,-25,23,0
-73,51,-2043,-25,20,3
-77,58,-2055,-26,24,5
-77,48,-2049,-24,28,9
-78,62,-2048,-23,24,7
-84,59,-2034,-25,23,3
-85,59,-2035,-25,21,2
-78,57,-2050,-26,25,4
-78,56,-2031,-27,22,0
-81,52,-2050,-29,25,3
-83,54,-2030,-25,25,8
-76,55,-2033,-32,24,7
-80,52,-2040,-27,22,8
-76,55,-2052,-28,24,0
-77,52,-2046,-26,28,5
-80,55,-2028,-24,26,7
-77,63,-2033,-24,21,5
-79,59,-2042,-27,24,8
-87,53,-2043,-29,25,4
-82,59,-2044,-27,21,7
-77,56,-2032,-26,21,5
-76,52,-2037,-30,26,4
-81,51,-2031,-31,25,8
-81,64,-2048,-26,25,7
-78,56,-2036,-25,22,6
-81,55,-2032,-29,21,1
-83,53,-2033,-25,24,2
-78,58,-2044,-27,23,6
-88,61,-2036,-22,23,6
-83,55,-2035,-27,24,3
-85,53,-2042,-28,23,7
-84,56,-2047,-27,22,6
-76,55,-2040,-28,21,8
-77,55,-2043,-23,27,5
-79,52,-2046,-22,19,2
-79,63,-2053,-30,22,7
-89,55,-2042,-28,22,8
-83,56,-2043,-24,27,6
-81,54,-2048,-26,22,8
-78,57,-2053,-25,23,4
-84,47,-2041,-28,22,8
-88,58,-2050,-25,24,4
-82,60,-2042,-26,21,5
-75,59,-2042,-27,21,3
-80,57,-2045,-26,23,5
-80,49,-2050,-23,23,6
-76,50,-2033,-28,27,5
-71,50,-2032,-24,23,3
-90,55,-2050,-24,27,8
-84,63,-2033,-25,26,6
-81,55,-2042,-26,24,4
-85,55,-2042,-25,23,8
-85,67,-2040,-30,20,7
-85,51,-2049,-26,24,5
-83,57,-2041,-26,21,5
-81,55,-2047,-25,22,6
-84,60,-2035,-26,26,6
-81,60,-2045,-25,24,5
-72,57,-2042,-26,26,4
-84,62,-2047,-28,26,8
-86,50,-2045,-23,22,8
-77,59,-2042,-26,23,7
-71,58,-2048,-24,25,4
-82,56,-2053,-26,22,7
-85,58,-2048,-26,25,6
-81,59,-2030,-25,22,6
-78,54,-2043,-26,25,5
-77,59,-2051,-25,22,5
-80,59,-2047,-28,23,8
-82,54,-2038,-25,24,6
-82,53,-2041,-24,24,4
-81,67,-2037,-28,23,7
-86,56,-2053,-25,25,6
-78,60,-2058,-27,21,4
-82,54,-2045,-25,24,7
-81,55,-2034,-27,21,2
-84,61,-2052,-25,26,7
-82,50,-2042,-29,22,8
-80,55,-2041,-30,22,6
-81,50,-2039,-27,21,5
-76,59,-2040,-25,23,5
-78,48,-2046,-25,24,5
-83,68,-2047,-29,26,7
-84,54,-2047,-28,23,7
-81,57,-2038,-26,24,5
-73,51,-2047,-27,22,7
-81,43,-2038,-25,22,7
-77,52,-2038,-24,20,3
-83,59,-2044,-24,22,7
-83,59,-2042,-22,26,4
-84,58,-2039,-28,22,4
-78,60,-2041,-27,23,6
-83,56,-2045,-27,23,6
-80,45,-2046,-27,22,2
-82,59,-2051,-24,25,2
-88,61,-2052,-26,21,6
-82,53,-2036,-26,23,5
-82,57,-2043,-26,26,5
-86,64,-2040,-25,24,3
-86,63,-2041,-26,26,8
-85,59,-2028,-23,23,6
-82,61,-2047,-27,21,2
-84,54,-2043,-21,20,1
-77,51,-2046,-25,22,3
-80,57,-2037,-28,22,6
-86,57,-2048,-26,25,6
-94,62,-2036,-30,20,7
-81,57,-2045,-25,22,-1
-77,55,-2047,-27,25,6
-78,52,-2045,-25,23,2
-82,67,-2042,-27,19,5
-76,62,-2044,-30,21,4
-82,51,-2038,-30,24,7
-86,61,-2038,-25,22,4
-80,56,-2053,-27,25,4
-79,55,-2045,-29,22,7
-80,57,-2045,-23,25,3
-74,51,-2053,-23,25,6
-81,55,-2036,-27,23,8
-77,59,-2054,-26,20,7
-81,58,-2053,-25,26,3
-76,61,-2042,-27,24,7
-79,57,-2049,-26,22,5
-86,56,-2039,-25,25,4
-84,52,-2043,-29,20,7
-79,62,-2040,-22,24,9
-88,57,-2041,-21,23,7
-80,61,-2044,-23,23,5
-90,62,-2034,-28,22,8
-81,62,-2030,-18,18,8
-79,62,-2047,-23,25,5
-75,52,-2047,-26,23,5
-76,59,-2043,-26,20,4
-79,64,-2038,-27,22,5
-83,56,-2045,-27,25,4
-80,56,-2055,-25,25,4
-85,60,-2037,-28,28,6
-80,64,-2036,-26,23,8
-83,57,-2030,-24,20,7
-71,60,-2032,-27,24,7
-85,53,-2039,-25,23,1
-83,59,-2042,-25,20,4
-78,56,-2045,-24,23,5
-80,57,-2044,-30,23,5
-81,59,-2039,-25,24,7
-81,63,-2036,-28,21,1
-86,54,-2036,-27,24,8
-83,49,-2037,-30,26,6
-87,53,-2052,-24,27,4
-79,50,-2036,-22,26,5
-80,49,-2032,-26,26,9
-77,54,-2035,-22,20,4
-83,55,-2051,-26,24,2
-79,53,-2041,-27,29,7
-81,52,-2043,-27,26,5
-87,57,-2037,-29,20,2
-77,50,-2052,-26,23,7
-85,64,-2052,-30,24,6
-74,56,-2051,-26,23,5
-80,52,-2049,-28,20,4
-81,53,-2042,-27,25,3
-83,59,-2029,-28,23,6
-80,54,-2044,-26,22,8
-77,58,-2051,-29,22,7
-84,61,-2058,-27,23,6
-83,54,-2037,-24,21,5
-83,54,-2039,-28,26,8
-74,50,-2038,-26,23,4
-83,59,-2037,-20,21,4
-84,55,-2053,-24,22,7
-85,58,-2045,-29,26,8
-77,48,-2043,-25,25,6
-86,58,-2049,-28,21,1
-83,52,-2052,-28,24,4
-86,60,-2034,-24,21,4
-85,50,-2042,-26,21,10
-88,60,-2052,-24,23,3
-85,58,-2043,-25,20,5
-77,51,-2034,-25,22,5
-80,55,-2026,-32,22,5
-83,57,-2029,-26,26,5
-81,53,-2039,-24,25,3
-87,53,-2043,-29,21,5
-86,53,-2034,-28,21,7
-86,53,-2041,-26,26,8
-79,56,-2036,-25,23,3
-82,59,-2041,-23,25,5
-78,53,-2054,-24,24,2
-78,59,-2040,-31,23,6
-84,49,-2050,-29,21,9
-84,57,-2030,-26,26,7
-80,54,-2033,-28,21,6
-80,58,-2038,-28,26,3
-84,60,-2047,-28,24,7
-78,48,-2038,-24,20,2
-73,50,-2059,-29,23,8
-84,54,-2041,-27,27,9
-84,59,-2035,-27,24,6
-86,54,-2043,-28,27,4
-84,63,-2042,-30,24,6
-77,56,-2038,-27,21,7
-82,55,-2059,-25,23,2
-88,58,-2049,-29,21,4
-83,57,-2040,-28,19,10
-81,62,-2045,-24,26,7
-76,56,-2030,-27,24,7
-87,60,-2045,-27,24,7
-72,63,-2045,-27,25,-1
-83,53,-2047,-26,24,7
-79,55,-2040,-25,25,6
-83,57,-2044,-25,22,5
-87,50,-2049,-26,25,5
-80,60,-2041,-27,24,2
-84,62,-2043,-26,21,8
-74,62,-2034,-28,21,4
-83,60,-2038,-26,21,4
-81,52,-2037,-29,22,6
-86,57,-2043,-24,26,7
-73,56,-2046,-23,24,6
-83,49,-2046,-25,21,3
-81,56,-2036,-24,22,6
-78,58,-2046,-26,26,4
-83,54,-2051,-27,21,3
-84,55,-2043,-27,21,3
-84,68,-2049,-23,25,7
-90,65,-2033,-24,22,1
-74,54,-2033,-27,22,6
-77,56,-2028,-28,22,5
-81,50,-2034,-27,19,6
-81,52,-2052,-27,23,5
-72,56,-2053,-26,24,9
-71,57,-2041,-25,22,8
-83,59,-2045,-24,22,6
-80,55,-2041,-29,23,3
-81,53,-2048,-26,24,11
-81,51,-2041,-26,29,0
-78,60,-2034,-26,24,4
-81,52,-2054,-27,22,6
-80,52,-2032,-26,23,6
-89,57,-2044,-25,24,3
-76,64,-2042,-26,20,6
-77,54,-2047,-26,21,3
-78,55,-2047,-27,23,6
-87,57,-2038,-27,25,5
-90,52,-2034,-25,23,4
-72,52,-2041,-28,23,5
-83,52,-2030,-26,26,6
-86,57,-2046,-26,23,5
-79,60,-2044,-26,23,6
-80,65,-2044,-28,22,5
-79,61,-2039,-25,27,6
-81,59,-2044,-27,21,2
-84,64,-2047,-27,23,4
-81,56,-2041,-25,21,5
-93,55,-2037,-27,24,11
-85,49,-2045,-27,24,3
-75,64,-2041,-30,23,6
-77,55,-2048,-24,21,3
-79,52,-2036,-24,25,7
-80,61,-2051,-26,24,5
-89,51,-2032,-27,23,6
-88,61,-2039,-24,23,4
-83,47,-2055,-25,22,3
-74,58,-2053,-26,25,9
-78,56,-2036,-29,25,6
-89,57,-2037,-30,23,5
-76,51,-2035,-29,21,7
-84,58,-2058,-28,20,5
-84,54,-2038,-23,25,10
-79,51,-2032,-27,28,6
-76,62,-2034,-27,21,7
-76,54,-2043,-26,24,6
-80,53,-2053,-24,26,6
-81,57,-2035,-26,25,8
-81,54,-2025,-22,24,6
-79,54,-2040,-28,18,8
-80,63,-2043,-26,25,7
-82,57,-2034,-26,19,8
-88,56,-2042,-24,21,6
-77,50,-2032,-26,28,2
-76,48,-2047,-27,21,4
-73,56,-2041,-24,22,4
-82,55,-2046,-26,25,7
-77,54,-2039,-24,23,6
-81,55,-2049,-28,22,5
-84,49,-2063,-29,26,6
-77,46,-2053,-26,23,2
-81,55,-2035,-27,28,4
-84,57,-2043,-27,27,8
-79,46,-2039,-25,21,3
-80,59,-2044,-26,23,4
-76,52,-2043,-23,22,5
-79,54,-2044,-26,22,5
-75,54,-2043,-24,23,6
-72,55,-2045,-31,23,2
-74,61,-2050,-29,23,12
-84,55,-2050,-22,20,6
-76,58,-2044,-29,22,7
-84,55,-2043,-27,25,6
-92,60,-2048,-26,23,6
-76,51,-2038,-25,22,6
-86,56,-2048,-25,24,3
-79,52,-2033,-29,22,6
-80,56,-2037,-27,23,3
-74,58,-2042,-26,24,5
-79,56,-2039,-26,26,2
-81,56,-2032,-25,22,2
-80,59,-2048,-27,22,5
-82,51,-2042,-30,27,6
-76,59,-2043,-25,27,5
-77,55,-2049,-27,22,4
-87,60,-2032,-30,24,2
-78,58,-2035,-28,23,2
-86,58,-2032,-26,21,4
-85,55,-2044,-29,22,4
-80,60,-2034,-24,24,5
-80,51,-2040,-26,23,8
-87,57,-2041,-25,21,7
-87,50,-2039,-30,24,7
-82,59,-2047,-27,25,6
-82,62,-2045,-27,21,5
-76,53,-2045,-26,25,1
-79,62,-2047,-27,25,8
-85,57,-2050,-29,21,6
-81,60,-2048,-25,27,7
-89,54,-2037,-26,24,3
-75,60,-2041,-27,23,6
-81,54,-2048,-23,23,5
-85,54,-2040,-25,24,6
-85,49,-2045,-26,24,5
-77,54,-2043,-23,25,5
-84,56,-2039,-24,25,3
-80,60,-2046,-26,21,7
-84,56,-2048,-28,25,2
-81,49,-2033,-26,22,1
-86,53,-2035,-27,22,5
-83,58,-2030,-28,23,8
-74,60,-2052,-26,20,5
-88,52,-2041,-25,23,4
