22,-69,2064,-18,19,-3
26,-77,2073,-25,21,-6
28,-74,2080,-20,22,-4
25,-83,2083,-22,21,-1
24,-72,2071,-23,20,2
22,-79,2063,-24,26,2
22,-74,2072,-22,19,1
28,-70,2079,-20,24,1
21,-76,2069,-23,22,0
32,-74,2074,-27,20,1
30,-79,2066,-24,21,1
27,-71,2066,-25,16,4
27,-73,2074,-22,22,0
24,-72,2071,-21,23,1
28,-73,2066,-24,21,-2
25,-72,2067,-22,21,4
24,-73,2072,-22,21,-3
24,-73,2074,-20,21,1
28,-70,2072,-18,23,-1
24,-72,2085,-21,18,2
27,-71,2060,-24,19,1
24,-73,2068,-22,21,2
28,-80,2069,-23,23,2
27,-72,2066,-22,22,3
27,-73,2069,-22,19,-1
25,-75,2071,-23,21,4
20,-83,2077,-19,19,6
21,-77,2057,-23,22,1
27,-73,2061,-22,21,0
28,-76,2075,-27,21,0
22,-74,2065,-22,21,0
29,-71,2071,-25,21,2
22,-77,2070,-23,18,2
29,-80,2063,-22,24,1
28,-75,2081,-25,23,1
30,-73,2083,-23,20,7
25,-66,2074,-21,23,2
17,-67,2079,-19,20,3
20,-79,2052,-25,21,3
30,-73,2061,-21,21,3
22,-76,2065,-23,19,-1
25,-82,2072,-24,21,-2
23,-71,2065,-20,23,2
28,-73,2081,-23,23,0
25,-69,2068,-22,23,0
28,-67,2077,-22,23,-2
22,-81,2069,-24,20,3
23,-73,2068,-20,22,0
27,-75,2071,-23,19,-2
26,-74,2083,-24,20,0
22,-75,2069,-24,26,0
28,-75,2070,-26,21,5
29,-69,2058,-24,20,3
27,-69,2075,-23,25,1
31,-81,2055,-20,19,1
26,-70,2073,-19,18,5
19,-70,2068,-23,19,-3
27,-77,2066,-23,26,1
26,-67,2063,-22,24,2
36,-68,2071,-25,24,0
25,-74,2077,-25,22,-1
31,-73,2084,-20,25,1
18,-82,2076,-20,24,0
25,-70,2072,-22,23,3
23,-68,2067,-22,25,-7
30,-72,2068,-22,20,2
21,-71,2065,-22,20,0
20,-76,2072,-22,21,2
24,-78,2069,-21,23,-2
21,-80,2064,-22,23,0
28,-70,2074,-23,20,0
19,-67,2072,-28,24,0
19,-80,2065,-24,20,-2
27,-70,2065,-19,20,3
29,-73,2064,-21,22,-3
30,-74,2070,-23,21,0
29,-69,2072,-23,26,4
24,-69,2069,-21,24,-2
30,-64,2074,-23,23,0
35,-72,2074,-25,25,0
27,-71,2069,-22,19,2
22,-79,2072,-23,22,3
22,-77,2074,-22,21,-1
19,-73,2071,-19,21,1
27,-76,2072,-22,19,-1
28,-76,2071,-24,21,-1
19,-74,2068,-23,20,4
29,-70,2074,-22,22,0
23,-76,2066,-22,20,-3
16,-74,2067,-18,15,0
16,-74,2068,-21,23,1
16,-78,2069,-21,20,0
21,-72,2062,-19,19,0
30,-73,2062,-20,24,2
19,-69,2081,-16,20,0
26,-69,2069,-20,25,-4
26,-77,2081,-22,21,2
23,-67,2074,-20,25,0
30,-66,2077,-24,24,-2
30,-78,2072,-25,20,-4
23,-73,2055,-24,19,4
